id,ar,wg,role,rank,author_id,Author (INFO),institution_id,Institution (INFO),Country (INFO),department_id,Department (INFO)
24,1,3,Co-Chair WGIII,4,3092,Pier Vellinga,302,"Vrije Universiteit,Amsterdam",The Netherlands,184,Institute for Environmental Studies
36,2,2,Co-Chair Subgroup C WGII,4,231,Martin Beniston,1,N/A,N/A,35,Institute of Geography
37,2,2,Co-Chair Subgroup B WGII,4,3092,Pier Vellinga,302,"Vrije Universiteit,Amsterdam",The Netherlands,184,Institute for Environmental Studies
60,4,1,Co-Chair WGI,3,2827,Susan Solomon,188,National Oceanographic and Atmospheric Administration (NOAA),USA,112,Aeronomy Laboratory
62,4,2,Co-Chair WGII,3,2266,Martin Parry,182,Met Office,United Kingdom,88,Hadley Centre Centre for Environmental Policy
67,5,NULL,IPCC Vice-Chair,2,3082,Jean-Pascal van Ypersele,194,Université Catholique de Louvain,Belgium,123,Institut d'Astronomie et de Géophysique G. Lemaitre
