AR,WG,Total France Participations,Total Participations,Percentage of France Participations
1,1,9,320,2.8125
1,2,0,181,0.0000
1,3,5,77,6.4935
2,1,13,510,2.5490
2,2,24,736,3.2609
2,3,9,136,6.6176
3,1,30,787,3.8119
3,2,3,587,0.5111
3,3,7,283,2.4735
4,1,47,826,5.6901
4,2,16,606,2.6403
4,3,14,347,4.0346
5,1,56,1016,5.5118
5,2,24,800,3.0000
5,3,6,269,2.2305
