id,institution_id,Institution (INFO),country_id,Country (INFO)
1,1,N/A,1,N/A
2,1,N/A,2,Albania
3,1,N/A,3,Algeria
4,1,N/A,4,Antigua and Barbuda
5,1,N/A,5,Argentina
6,1,N/A,6,Australia
7,1,N/A,7,Austria
8,1,N/A,8,Bangladesh
9,1,N/A,9,Barbados
10,1,N/A,10,Belgium
11,1,N/A,11,Belize
12,1,N/A,12,Benin
13,1,N/A,13,Bermuda
14,1,N/A,14,Bolivia
15,1,N/A,15,Botswana
16,1,N/A,16,Brazil
17,1,N/A,17,Bulgaria
18,1,N/A,18,Cambodia
19,1,N/A,19,Cameroon
20,1,N/A,20,Canada
21,1,N/A,21,Chad
22,1,N/A,22,Chile
23,1,N/A,23,China
24,1,N/A,24,Colombia
25,1,N/A,25,Costa Rica
26,1,N/A,26,Cuba
27,1,N/A,27,Czech Republic
28,1,N/A,28,Denmark
29,1,N/A,29,Ecuador
30,1,N/A,30,Egypt
31,1,N/A,31,El Salvador
32,1,N/A,32,Ethiopia
33,1,N/A,33,Fiji
34,1,N/A,34,Finland
35,1,N/A,35,France
36,1,N/A,36,Germany
37,1,N/A,37,Ghana
38,1,N/A,38,Greece
39,1,N/A,39,Guatemala
40,1,N/A,40,Guinea
41,1,N/A,41,Hong Kong
42,1,N/A,42,Hungary
43,1,N/A,43,Iceland
44,1,N/A,44,India
45,1,N/A,45,Indonesia
46,1,N/A,46,Iran
47,1,N/A,47,Ireland
48,1,N/A,48,Israel
49,1,N/A,49,Italy
50,1,N/A,50,Jamaica
51,1,N/A,51,Japan
52,1,N/A,52,Kazakhstan
53,1,N/A,53,Kenya
54,1,N/A,54,Kiribati
55,1,N/A,55,Kuwait
56,1,N/A,56,Laos
57,1,N/A,57,Lithuania
58,1,N/A,58,Madagascar
59,1,N/A,59,Malawi
60,1,N/A,60,Malaysia
61,1,N/A,61,Maldives
62,1,N/A,62,Malta
63,1,N/A,63,Mauritius
64,1,N/A,64,Mexico
65,1,N/A,65,Moldova
66,1,N/A,66,Monaco
67,1,N/A,67,Montenegro
68,1,N/A,68,Mongolia
69,1,N/A,69,Morocco
70,1,N/A,70,Mozambique
71,1,N/A,71,Namibia
72,1,N/A,72,Nepal
73,1,N/A,73,New Zealand
74,1,N/A,74,Nigeria
75,1,N/A,75,Norway
76,1,N/A,76,Oman
77,1,N/A,77,Qatar
78,1,N/A,78,Pakistan
79,1,N/A,79,Papua New Guinea
80,1,N/A,80,Peru
81,1,N/A,81,Philippines
82,1,N/A,82,Poland
83,1,N/A,83,Portugal
84,1,N/A,84,Puerto Rico
85,1,N/A,85,Romania
86,1,N/A,86,Russian Federation
87,1,N/A,87,Samoa
88,1,N/A,88,Saudi Arabia
89,1,N/A,89,Senegal
90,1,N/A,90,Seychelles
91,1,N/A,91,Sierra Leone
92,1,N/A,92,Singapore
93,1,N/A,93,Slovakia
94,1,N/A,94,Slovenia
95,1,N/A,95,South Africa
96,1,N/A,96,South Korea
97,1,N/A,97,Spain
98,1,N/A,98,Sri Lanka
99,1,N/A,99,Sudan
100,1,N/A,100,Swaziland
101,1,N/A,101,Sweden
102,1,N/A,102,Switzerland
103,1,N/A,103,Taiwan
104,1,N/A,104,Tanzania
105,1,N/A,105,Thailand
106,1,N/A,106,The Gambia
107,1,N/A,107,The Netherlands
108,1,N/A,108,Togo
109,1,N/A,109,Trinidad and Tobago
110,1,N/A,110,Tunisia
111,1,N/A,111,Turkey
112,1,N/A,112,Turkmenistan
113,1,N/A,113,USA
114,1,N/A,114,USSR
115,1,N/A,115,Uganda
116,1,N/A,116,Ukraine
117,1,N/A,117,United Kingdom
118,1,N/A,118,Uruguay
119,1,N/A,119,Uzbekistan
120,1,N/A,120,Venezuela
121,1,N/A,121,Vietnam
122,1,N/A,122,Zambia
123,1,N/A,123,Zimbabwe
124,124,National Aeronautics and Space Administration (NASA),113,USA
125,125,University of New South Wales,6,Australia
126,126,University of Bern,102,Switzerland
129,129,National Institute for Environmental Studies,51,Japan
130,130,University of Leeds,117,United Kingdom
131,131,University of Exeter,117,United Kingdom
132,132,University of Washington,113,USA
133,133,University of Bergen,75,Norway
134,134,Indian Institute of Tropical Meteorology,44,India
135,135,University of Miami,113,USA
136,136,ETH Zurich,102,Switzerland
137,137,Alfred Wegener Institute for Polar and Marine Research,36,Germany
139,139,A.M. Obukhov Institute of Atmospheric Physics,86,Russian Federation
140,140,Peking University,23,China
141,141,State Key Laboratory for Cryospheric Science,23,China
143,143,University of Bremen,36,Germany
144,144,University of Chile,22,Chile
146,146,British Antarctic Survey,117,United Kingdom
148,148,University of Tokyo,51,Japan
149,149,University of Cape Town,95,South Africa
150,150,Indian Institute of Technology,44,India
151,151,University of Botswana,15,Botswana
152,152,"Agency for Meteorology,Climatology and Geophysics",45,Indonesia
153,153,University of Oxford,117,United Kingdom
154,154,Antarctic Climate and Ecosystems Cooperative Research Centre,6,Australia
155,155,Yonsei University,96,South Korea
156,156,Hokkaido University,51,Japan
157,157,Australian Bureau of Meteorology,6,Australia
158,158,University of Sao Paulo,16,Brazil
159,159,Indian Institute of Science,44,India
160,160,University of Bristol,117,United Kingdom
161,161,Eotvos Lorand University,42,Hungary
162,162,Eawag,102,Switzerland
163,163,University of Tasmania,6,Australia
164,164,Environment Canada,20,Canada
165,165,National Institute of Meteorology and Hydrology (NIMH),85,Romania
166,166,National Center for Atmospheric Research (NCAR),113,USA
167,167,Institut Pierre Simon Laplace (IPSL),35,France
168,168,Ohio State University,113,USA
169,169,Max-Planck Institute for Meteorology,36,Germany
170,170,Universidad de Buenos Aires,5,Argentina
171,171,Commonwealth Scientific and Industrial Research Organization (CSIRO),6,Australia
172,172,Direccion Meteorologica de Chile,22,Chile
173,173,National Institute for Space Research (INPE),16,Brazil
174,174,Laboratoire d'Etudes en Géophysique et Océanographie Spatiale (LEGOS),35,France
175,175,University of South Florida,113,USA
176,176,Sultan Qaboos University,76,Oman
177,177,University of Gothenburg,101,Sweden
178,178,Indian Space Research Organisation,44,India
179,179,Danish Meteorological Institute,28,Denmark
180,180,Oregon State University,113,USA
181,181,Lawrence Berkeley National Laboratory,113,USA
182,182,Met Office,117,United Kingdom
183,183,Freie Universität Berlin,36,Germany
184,184,University of Castilla - La Mancha,97,Spain
185,185,Columbia University,113,USA
187,187,China Meteorological Administration,23,China
188,188,National Oceanographic and Atmospheric Administration (NOAA),113,USA
189,189,Catalan Institute of Climate Sciences,97,Spain
190,190,Beijing Normal University,23,China
191,191,Direction de la Meteorologie Nationale Maroc,69,Morocco
192,192,Deutsches Zentrum fur Luft und Raumfahrt,36,Germany
193,193,Institute of Atmospheric Sciences and Climate,49,Italy
194,194,Université Catholique de Louvain,10,Belgium
195,195,Pennsylvania State University,113,USA
196,196,Victoria University of Wellington,73,New Zealand
197,197,Institute of Ocean Sciences,20,Canada
198,198,Center for International Climate and Environmental Research,75,Norway
199,199,University of Virginia,113,USA
200,200,Potsdam Institute for Climate Impact Research,36,Germany
201,201,Lawrence Livermore National Laboratory,113,USA
202,202,Universidad Complutense de Madrid,97,Spain
203,203,Centre for Mathematical Modeling and Computer Simulation,44,India
204,204,University of Reading,117,United Kingdom
205,205,P.P. Shirshov Institute of Oceanography,86,Russian Federation
206,206,Wadia Institute of Himalayan Geology,44,India
207,207,Iowa State University,113,USA
208,208,University of New Mexico,113,USA
209,209,University of California Los Angeles,113,USA
210,210,University of Zambia,122,Zambia
211,211,University of Edinburgh,117,United Kingdom
212,212,Max-Planck Institute for Biogeochemistry,36,Germany
213,213,Lanzhou University,23,China
214,214,Vrije Universiteit Brussel,10,Belgium
215,215,Harvard University,113,USA
216,216,Monash University,6,Australia
217,217,Permanent Service for Mean Sea Level (PSMSL),117,United Kingdom
219,219,National Oceanography Centre,117,United Kingdom
220,220,Zambia Meteorological Department,122,Zambia
221,221,University of Innsbruck,7,Austria
222,222,Voeikov Main Geophysical Observatory,86,Russian Federation
223,223,Finnish Meteorological Institute,34,Finland
224,224,George Mason University,113,USA
225,225,Meteorological Research Institute,51,Japan
226,226,Royal Netherlands Meteorological Institute (KNMI),107,The Netherlands
227,227,U.S. Department of Energy,113,USA
228,228,Laboratoire de Glaciologie et Geophysique de l'Environement (LGGE),35,France
229,229,National Institute of Meteorological Research,96,South Korea
230,230,Australian National University,6,Australia
231,231,University of East Anglia,117,United Kingdom
232,232,Manchester Metropolitan University,117,United Kingdom
233,233,Chinese Academy of Sciences,23,China
234,234,Justus-Liebig University Giessen,36,Germany
235,235,Cornell University,113,USA
236,236,Universidad Nacional Autonoma de Mexico (UNAM),64,Mexico
237,237,University of Hawaii,113,USA
238,238,University of Ottawa,20,Canada
239,239,Institute of Atmospheric Physics,86,Russian Federation
1401,239,Institute of Atmospheric Physics,114,USSR
240,240,Swansea University,117,United Kingdom
241,241,Center for International Climate and Environment (CICERO),75,Norway
242,242,Boston University,113,USA
243,243,Cooperative Institute for Research in Environmental Sciences (CIRES),113,USA
244,244,University of New England,6,Australia
245,245,European Centre for Medium-Range Weather Forecasts (ECMWF),117,United Kingdom
246,246,University of Zurich,102,Switzerland
247,247,University of Michigan,113,USA
248,248,University of Colorado,113,USA
249,249,Météo-France,35,France
250,250,Bureau of Meteorology,6,Australia
251,251,University of California Irvine,113,USA
252,252,University of Texas-Austin,113,USA
253,253,Iranian Meteorological Organization,46,Iran
254,254,Physical Research Laboratory,44,India
255,255,Colorado State University,113,USA
256,256,Pacific Northwest National Laboratory,113,USA
257,257,Laboratoire de Glaciologie et Géophysique de l'Environnement (LGGE),35,France
258,258,Rutgers University,113,USA
259,259,University of California San Diego,113,USA
260,260,Swedish Meteorological and Hydrological Institute,101,Sweden
261,261,Service Météorologique,89,Senegal
262,262,South African Weather Service,95,South Africa
263,263,Russian Federation Academy of Sciences,86,Russian Federation
264,264,University of Hamburg,36,Germany
266,266,University of Rowan,117,United Kingdom
267,267,Kyushu University,51,Japan
268,268,Scripps Institute of Oceanography,113,USA
269,269,National University of Malaysia,60,Malaysia
270,270,"Climate Central,Inc.",113,USA
271,271,Oak Ridge National Laboratory,113,USA
272,272,National Institute of Oceanography,44,India
273,273,University of Utrecht,107,The Netherlands
274,274,University of Helsinki,34,Finland
275,275,Instituto de Meteorologia,83,Portugal
276,276,University of Cambridge,117,United Kingdom
277,277,University of Victoria,20,Canada
278,278,Norwegian Polar Institute,75,Norway
279,279,Proudman Oceanographic Laboratory,117,United Kingdom
280,280,National Institute of Water and Atmospheric Research,73,New Zealand
282,282,Nagoya University,51,Japan
283,283,Pacific Climate Impacts Consortium (PCIC),20,Canada
285,285,Goethe University Frankfurt,36,Germany
286,286,University of Alexandria,30,Egypt
287,287,"Ministry of Housing,Environment and Energy",61,Maldives
369,288,International Institute for Environment and Development (IIED),8,Bangladesh
339,288,International Institute for Environment and Development (IIED),50,Jamaica
288,288,International Institute for Environment and Development (IIED),98,Sri Lanka
451,288,International Institute for Environment and Development (IIED),117,United Kingdom
423,289,University of the West Indies,9,Barbados
675,289,University of the West Indies,50,Jamaica
289,289,University of the West Indies,109,Trinidad and Tobago
290,290,International Water Management Institute,44,India
291,291,United Nations Environment Programme (UNEP),8,Bangladesh
996,291,United Nations Environment Programme (UNEP),53,Kenya
617,291,United Nations Environment Programme (UNEP),113,USA
292,292,"Ministry of Agriculture,Water Resources and Fisheries",110,Tunisia
293,293,Institute of Geography,86,Russian Federation
294,294,State Hydrological Institute,86,Russian Federation
1395,294,State Hydrological Institute,114,USSR
296,296,Centro Mario Molina,64,Mexico
297,297,National Renewable Energy Laboratory (NREL),113,USA
298,298,University of California Berkeley,113,USA
299,299,National Institute of Environmental Health Sciences,113,USA
300,300,University of Melbourne,6,Australia
301,301,Spanish Council for Scientific Research,97,Spain
302,302,"Vrije Universiteit,Amsterdam",107,The Netherlands
303,303,Energy and Resources Institute,44,India
304,304,University of Florence,49,Italy
305,305,United Nations University - Institute for Environment and Human Security,36,Germany
306,306,Institut de Recherche pour le Developpement (IRD),35,France
307,307,National Institute of Water and Atmosphere,73,New Zealand
308,308,Monterey Bay Aquarium Research Institute,113,USA
309,309,University of Malta,62,Malta
310,310,Carleton University,20,Canada
311,311,Griffith University,6,Australia
312,312,U.S. Geological Survey,113,USA
313,313,University of Toronto,20,Canada
314,314,Third Institute of Oceanography Chinese State Oceanic Administration,23,China
315,315,Universidad Nacional Mayor de San Marcos,80,Peru
316,316,University of Waikato,73,New Zealand
839,317,World Health Organization (WHO),36,Germany
1351,317,World Health Organization (WHO),102,Switzerland
317,317,World Health Organization (WHO),117,United Kingdom
318,318,Organization of American States,25,Costa Rica
319,319,Universidad Nacional de Colombia,24,Colombia
320,320,Massachusetts Institute of Technology,113,USA
321,321,University of South Carolina,113,USA
322,322,Finnish Environment Institute,34,Finland
323,323,Universidad del Valle de Guatemala,39,Guatemala
1336,324,United Nations Development Programme (UNDP),16,Brazil
417,324,United Nations Development Programme (UNDP),19,Cameroon
1175,324,United Nations Development Programme (UNDP),80,Peru
1308,324,United Nations Development Programme (UNDP),101,Sweden
324,324,United Nations Development Programme (UNDP),123,Zimbabwe
326,326,University of British Columbia,20,Canada
327,327,Rhodes University,95,South Africa
328,328,Trent University,20,Canada
329,329,Oswaldo Cruz Foundation (FIOCRUZ),16,Brazil
330,330,Australian Antarctic Division,6,Australia
818,331,Organization for Economic Cooperation and Development (OECD),20,Canada
331,331,Organization for Economic Cooperation and Development (OECD),35,France
804,331,Organization for Economic Cooperation and Development (OECD),36,Germany
395,332,Independent Consultant,20,Canada
1087,332,Independent Consultant,22,Chile
1312,332,Independent Consultant,44,India
332,332,Independent Consultant,65,Moldova
381,332,Independent Consultant,95,South Africa
337,332,Independent Consultant,106,The Gambia
823,332,Independent Consultant,113,USA
333,333,University of Ohio,113,USA
334,334,Institute of Economic Growth,44,India
335,335,University of Alberta,20,Canada
336,336,University Cheikh Anta Diop of Dakar,89,Senegal
338,338,Stanford University,113,USA
340,340,Global Climate Adaptation Partnership,113,USA
341,341,Institute of Marine Research,75,Norway
342,342,Federal University of Rio de Janeiro,16,Brazil
343,343,Hanoi University of Science,121,Vietnam
344,344,Universite de La Rochelle - National Centre for Scientific Research (CNRS),35,France
345,345,National Water Research Center,30,Egypt
346,346,Norwegian University of Life Sciences,75,Norway
347,347,University of Ghana Medical School,37,Ghana
348,348,California State University,113,USA
349,349,Munich Reinsurance Company,36,Germany
350,350,University of Otago,73,New Zealand
351,351,Chinese Institute of Environment and Sustainable Development in Agriculture,23,China
352,352,Centre National de la Recherche Scientifique (CNRS),35,France
353,353,National Observatory of Athens,38,Greece
354,354,Abdus Salam International Centre for Theoretical Physics,49,Italy
355,355,Fundacion Bariloche,5,Argentina
356,356,World Bank,6,Australia
360,356,World Bank,35,France
904,356,World Bank,35,France
837,356,World Bank,49,Italy
1377,356,World Bank,98,Sri Lanka
1077,356,World Bank,113,USA
357,357,High Commission of Niger Valley Development,74,Nigeria
358,358,London School of Hygiene and Tropical Medicine,117,United Kingdom
359,359,MTT Agrifood Research Finland,34,Finland
361,361,Columbia Business School,113,USA
362,362,Sokoine University of Agriculture,104,Tanzania
363,363,Institut National de Recherche Halieutique,69,Morocco
364,364,Global Climate Forum,36,Germany
365,365,University of Queensland,6,Australia
367,367,Nordland Research Institute,75,Norway
368,368,Macquarie University,6,Australia
370,370,Polytechnic University of Madrid,97,Spain
371,371,Global Change Impact Studies Centre,78,Pakistan
372,372,"Climate Service Center, Hamburg",36,Germany
373,373,"United Nations Educational,Scientific and Cultural Organization (UNESCO)",64,Mexico
374,374,Victoria University,6,Australia
375,375,Jeju National University,96,South Korea
376,376,International Institute for Applied Systems Analysis (IIASA),7,Austria
552,376,International Institute for Applied Systems Analysis (IIASA),24,Colombia
582,376,International Institute for Applied Systems Analysis (IIASA),36,Germany
978,376,International Institute for Applied Systems Analysis (IIASA),44,India
608,376,International Institute for Applied Systems Analysis (IIASA),67,Montenegro
377,377,University of Ljubljana,94,Slovenia
378,378,Strathmore University,53,Kenya
379,379,Ecole Nationale Forestiere d'Ingenieurs,69,Morocco
380,380,Exxon Mobil Corporation,113,USA
382,382,University New Hampshire,113,USA
383,383,Ardhi University,104,Tanzania
384,384,Stockholm Environment Institute,101,Sweden
385,385,Institute for Catastrophic Loss Reduction,20,Canada
386,386,University of Delhi,44,India
387,387,Polish Academy of Sciences,82,Poland
388,388,Universite Paris 8,35,France
389,389,University of the Philippines Los Baños,81,Philippines
390,390,Stefansson Arctic Institute,43,Iceland
391,391,World Agroforestry Center,81,Philippines
392,392,Universite Paris-Sud 11,35,France
394,394,Dickinson College,113,USA
396,396,Wageningen University,107,The Netherlands
397,397,RAND Corporation,113,USA
399,399,Agro-environment and Sustainable Development Institute,23,China
400,400,Karolinska Institutet,101,Sweden
401,401,Chinese Center for Disease Control and Prevention,23,China
402,402,Centro de Investigaciones Biologicas del Noroeste,64,Mexico
403,403,Universidad de Cantabria,97,Spain
404,404,Centers for Disease Control and Prevention,113,USA
405,405,Environment and Fisheries Department,89,Senegal
406,406,Institute of Environment and Sustainable Development in Agriculture,23,China
407,407,Instituto Nacional de Tecnologia Agropecuaria (INTA),5,Argentina
408,408,Basque Centre for Climate Change,97,Spain
409,409,Texas A&M University,113,USA
410,410,Pontificia Universidad Catolica de Chile,22,Chile
411,411,South African National Biodiversity Institute,95,South Africa
412,412,Ibaraki University,51,Japan
413,413,University of Greenwich,117,United Kingdom
414,414,University of Maryland,113,USA
415,415,HELVETAS Swiss Intercooperation,44,India
416,416,University of Dar-es-Salaam,104,Tanzania
418,418,Instituto de Pesquisa Ambiental da Amazonia (IPAM),113,USA
419,419,Industrial Economics Inc,113,USA
420,420,AgResearch,73,New Zealand
421,421,University of Southampton,117,United Kingdom
422,422,Consultant,6,Australia
1356,422,Consultant,42,Hungary
931,422,Consultant,80,Peru
481,422,Consultant,92,Singapore
795,422,Consultant,117,United Kingdom
424,424,University of Oslo,75,Norway
425,425,Lund University,101,Sweden
426,426,South African National Space Agency (SANSA) South Africa,95,South Africa
427,427,University of Nairobi,53,Kenya
428,428,Princeton University,113,USA
429,429,African Development Bank,99,Sudan
430,430,University of Arizona,113,USA
431,431,International START Secretariat,113,USA
432,432,Indian Institute of Technology Bombay,44,India
433,433,Secretariat of the Pacific Regional Environment Programme,87,Samoa
434,434,King's College London,117,United Kingdom
435,435,International policy center for inclusive growth,9,Barbados
437,437,Manila Observatory,81,Philippines
438,438,University of Neuchatel,102,Switzerland
439,439,National Academy of Sciences,116,Ukraine
440,440,University of Copenhagen,28,Denmark
441,441,Madagascar National Weather Service,58,Madagascar
442,442,New Zealand Agricultural Greenhouse Gas Research Centre,73,New Zealand
443,443,Indian Institute for Human Settlements,44,India
444,444,Institute of Forecasting Russian Academy of Science,86,Russian Federation
445,445,University of Vic,97,Spain
446,446,Ethekwini Municipality,95,South Africa
447,447,University of Stellenbosch,71,Namibia
448,448,National Institute of Advanced Industrial Science and Technology,51,Japan
449,449,El Colegio de la Frontera Norte,64,Mexico
450,450,University of Lisbon,83,Portugal
452,452,Umea University,101,Sweden
453,453,Conservation International,16,Brazil
454,454,Council for Scientific and Industrial Research (CSIR),95,South Africa
456,456,Institut National de la Recherche Agronomique (INRA),35,France
457,457,Helmholtz Zentrum Geesthacht,36,Germany
458,458,Environmental Defense Fund,113,USA
459,459,Stratus Consulting Inc.,113,USA
460,460,City University of New York,113,USA
461,461,Woods Hole Oceanographic Institution,113,USA
1295,462,United Nations University,43,Iceland
465,462,United Nations University,51,Japan
462,462,United Nations University,113,USA
463,463,Cuban Environment Agency,26,Cuba
464,464,Kyoto University,51,Japan
466,466,International Centre for Water Hazard and Risk Management,51,Japan
467,467,United Nations University's World Institute for Development Economics Research,95,South Africa
468,468,University of Sussex,117,United Kingdom
469,469,School of Geography & Environment University of Southampton,117,United Kingdom
980,470,International Atomic Energy Agency (IAEA),7,Austria
470,470,International Atomic Energy Agency (IAEA),42,Hungary
727,470,International Atomic Energy Agency (IAEA),66,Monaco
898,470,International Atomic Energy Agency (IAEA),111,Turkey
471,471,International Fund for Agricultural Development (IFAD),89,Senegal
472,472,Plymouth Marine Laboratory,117,United Kingdom
473,473,University of Tuscia and Euro-Mediterranean Center for Climate Change,49,Italy
474,474,University of Barcelona,97,Spain
475,475,Red Cross / Red Crescent Climate Centre,107,The Netherlands
476,476,Inter-American Development Bank,24,Colombia
477,477,Universidad Simon Bolivar,120,Venezuela
478,478,University of the Witwatersrand,95,South Africa
480,480,Secretariat of the Pacific Community - Applied Geoscience and Technology Division (SOPAC),33,Fiji
482,482,University of Auckland,73,New Zealand
483,483,Shenyang Agricultural University,23,China
484,484,"Center for Strategic Environmental Assessment, Nankai University",23,China
485,485,China Institute of Water Resources and Hydropower Research,23,China
486,486,Wesleyan University,113,USA
487,487,University of Khartoum,99,Sudan
488,488,Integral Environmental Solutions,30,Egypt
489,489,"Ministry of Science,Technology and Environment",26,Cuba
