AR,Cumulated WG,Total Authors
1,WG1,233
1,WG1+2,11
1,WG1+3,4
1,WG2,153
1,WG2+3,5
1,WG3,60
2,WG1,384
2,WG1+2,25
2,WG1+3,2
2,WG2,508
2,WG2+3,10
2,WG3,81
3,WG1,564
3,WG1+2,29
3,WG1+3,6
3,WG2,361
3,WG2+3,11
3,WG3,202
4,WG1,583
4,WG1+2,31
4,WG1+3,1
4,WG2,375
4,WG2+3,17
4,WG3,255
5,WG1,752
5,WG1+2,25
5,WG2,634
5,WG2+3,5
5,WG3,263
