code,name,source
EN.ATM.CO2E.KT,CO2 emissions (kt),http://data.worldbank.org/indicator/EN.ATM.CO2E.KT
IP.JRN.ARTC.SC,Scientific and technical journal articles,http://data.worldbank.org/indicator/IP.JRN.ARTC.SC
NY.GDP.PCAP.CD,GDP per capita (current US$),http://data.worldbank.org/indicator/NY.GDP.PCAP.CD
SP.POP.TOTL,"Population, total",http://data.worldbank.org/indicator/SP.POP.TOTL
