id,name,symbol
1,Academy of Science,AS
2,Company,COMP
4,Foundation,FND
5,Government Agency,GA
6,Higher Education Institution,HEI
8,International Institution,INT
9,Non-Governmental Organization,NGO
10,Other,OTHER
11,Public Research Organisation,PRO
12,Non Available,N/A
13,Consultants / Individuals,CO/IN
