author_id,Author (INFO),department_id,Department (INFO)
123,A. Arking,1,Goddard Space Flight Center
226,TL Bell,1,Goddard Space Flight Center
264,R. Bindschadler,1,Goddard Space Flight Center
313,Lahouari Bounoua,1,Goddard Space Flight Center
499,M. Chin,1,Goddard Space Flight Center
543,G. Collatz,1,Goddard Space Flight Center
550,Joey Comiso,1,Goddard Space Flight Center
971,P. Ginoux,1,Goddard Space Flight Center
1314,C. Jackman,1,Goddard Space Flight Center
1444,Y. Kaufman,1,Goddard Space Flight Center
2263,C.L. Parkinson,1,Goddard Space Flight Center
2987,A.M. Thompson,1,Goddard Space Flight Center
3384,H.J. Zwally,1,Goddard Space Flight Center
653,W.B. DeMore,2,Jet Propulsion Laboratory
890,R. Friedl,2,Jet Propulsion Laboratory
1606,Ronald Kwok,2,Jet Propulsion Laboratory
2498,Eric Rignot,2,Jet Propulsion Laboratory
2835,Yuhe Song,2,Jet Propulsion Laboratory
2869,Graeme Stephens,2,Jet Propulsion Laboratory
3240,Josh Willis,2,Jet Propulsion Laboratory
435,V. Canuto,3,Goddard Institute for Space Studies
477,Ben Chao,3,Goddard Institute for Space Studies
646,A. Del Genio,3,Goddard Institute for Space Studies
1027,L. Grenfell,3,Goddard Institute for Space Studies
1101,James E. Hansen,3,Goddard Institute for Space Studies
1737,C.S. Lingle,3,Goddard Institute for Space Studies
1999,M. Mishchenko,3,Goddard Institute for Space Studies
2383,Michael Prather,3,Goddard Institute for Space Studies
2502,David Rind,3,Goddard Institute for Space Studies
2556,Cynthia Rosenzweig,3,Goddard Institute for Space Studies
2574,Gary L. Russell,3,Goddard Institute for Space Studies
2663,Gavin Schmidt,3,Goddard Institute for Space Studies
3033,George Tselioudis,3,Goddard Institute for Space Studies
2075,Raimund Muscheler,4,Goddard Earth Sciences and Technology Center
2850,Jayaraman Srinivasan,5,Langley Research Center
3222,Bruce Wielicki,5,Langley Research Center
3260,Takmeng Wong,5,Langley Research Center
18,A. Ackerman,6,Ames Research Center
