AR,WG,Total France Authors,Total Authors,Percentage of Authors in France
1,1,8,248,3.2258
1,2,0,169,0.0000
1,3,4,69,5.7971
2,1,12,411,2.9197
2,2,16,543,2.9466
2,3,5,93,5.3763
3,1,26,599,4.3406
3,2,2,401,0.4988
3,3,6,219,2.7397
4,1,37,615,6.0163
4,2,12,423,2.8369
4,3,12,273,4.3956
5,1,42,777,5.4054
5,2,21,664,3.1627
5,3,6,268,2.2388
