alias,institution,author_id,Author (INFO)
Geun-Ha Park,Korea Institute of Ocean Science and Technology,5131,Geun-Ha Park
Geun-Ha Park,"National Oceanic and Atmospheric Administration, Atlantic Oceanographic and Meteorological Laboratory",5132,Geun-Ha Park
Michael Schulz,MARUM Center for Marine Environmental Sciences,5130,Michael Schulz
Michael Schulz,Norwegian Meteorological Institute,2681,Michael Schulz
William Collins,Lawrence Berkeley National Laboratory,547,William D. Collins
William Collins,University of Reading,548,Williams J. Collins
