Country,AR,WG,Total Country Authors,Total Authors,Percentage of Authors in Country
Cameroon,5,1,0,777,0.0000
Cameroon,5,2,2,664,0.3012
Cameroon,5,3,0,268,0.0000
Canada,1,1,10,248,4.0323
Canada,1,2,21,169,12.4260
Canada,1,3,2,69,2.8986
Canada,2,1,22,411,5.3528
Canada,2,2,27,543,4.9724
Canada,2,3,3,93,3.2258
Canada,3,1,28,599,4.6745
Canada,3,2,20,401,4.9875
Canada,3,3,6,219,2.7397
Canada,4,1,34,615,5.5285
Canada,4,2,31,423,7.3286
Canada,4,3,15,273,5.4945
Canada,5,1,33,777,4.2471
Canada,5,2,25,664,3.7651
Canada,5,3,5,268,1.8657
Chad,1,1,0,248,0.0000
Chad,1,2,0,169,0.0000
Chad,1,3,0,69,0.0000
Chad,2,1,0,411,0.0000
Chad,2,2,0,543,0.0000
Chad,2,3,0,93,0.0000
Chad,3,1,0,599,0.0000
Chad,3,2,0,401,0.0000
Chad,3,3,0,219,0.0000
Chad,4,1,0,615,0.0000
Chad,4,2,2,423,0.4728
Chad,4,3,0,273,0.0000
Chad,5,1,0,777,0.0000
Chad,5,2,0,664,0.0000
Chad,5,3,0,268,0.0000
Chile,1,1,0,248,0.0000
Chile,1,2,0,169,0.0000
Chile,1,3,0,69,0.0000
Chile,2,1,0,411,0.0000
Chile,2,2,0,543,0.0000
Chile,2,3,0,93,0.0000
Chile,3,1,0,599,0.0000
Chile,3,2,1,401,0.2494
Chile,3,3,2,219,0.9132
Chile,4,1,1,615,0.1626
Chile,4,2,2,423,0.4728
Chile,4,3,1,273,0.3663
Chile,5,1,2,777,0.2574
Chile,5,2,4,664,0.6024
Chile,5,3,1,268,0.3731
China,1,1,7,248,2.8226
China,1,2,4,169,2.3669
China,1,3,3,69,4.3478
China,2,1,7,411,1.7032
China,2,2,14,543,2.5783
China,2,3,1,93,1.0753
China,3,1,11,599,1.8364
China,3,2,7,401,1.7456
China,3,3,9,219,4.1096
China,4,1,17,615,2.7642
China,4,2,12,423,2.8369
China,4,3,15,273,5.4945
China,5,1,25,777,3.2175
China,5,2,18,664,2.7108
China,5,3,14,268,5.2239
Colombia,1,1,0,248,0.0000
Colombia,1,2,0,169,0.0000
Colombia,1,3,0,69,0.0000
Colombia,2,1,0,411,0.0000
Colombia,2,2,0,543,0.0000
Colombia,2,3,0,93,0.0000
Colombia,3,1,0,599,0.0000
Colombia,3,2,0,401,0.0000
Colombia,3,3,0,219,0.0000
Colombia,4,1,0,615,0.0000
Colombia,4,2,0,423,0.0000
Colombia,4,3,0,273,0.0000
Colombia,5,1,0,777,0.0000
Colombia,5,2,4,664,0.6024
Colombia,5,3,1,268,0.3731
Costa Rica,1,1,0,248,0.0000
Costa Rica,1,2,1,169,0.5917
Costa Rica,1,3,0,69,0.0000
Costa Rica,2,1,0,411,0.0000
Costa Rica,2,2,0,543,0.0000
Costa Rica,2,3,0,93,0.0000
Costa Rica,3,1,0,599,0.0000
Costa Rica,3,2,1,401,0.2494
Costa Rica,3,3,0,219,0.0000
Costa Rica,4,1,0,615,0.0000
Costa Rica,4,2,1,423,0.2364
Costa Rica,4,3,0,273,0.0000
Costa Rica,5,1,0,777,0.0000
Costa Rica,5,2,2,664,0.3012
Costa Rica,5,3,1,268,0.3731
Cuba,1,1,0,248,0.0000
Cuba,1,2,0,169,0.0000
Cuba,1,3,0,69,0.0000
Cuba,2,1,0,411,0.0000
Cuba,2,2,3,543,0.5525
Cuba,2,3,0,93,0.0000
Cuba,3,1,0,599,0.0000
Cuba,3,2,1,401,0.2494
Cuba,3,3,2,219,0.9132
Cuba,4,1,0,615,0.0000
Cuba,4,2,1,423,0.2364
Cuba,4,3,4,273,1.4652
Cuba,5,1,0,777,0.0000
Cuba,5,2,1,664,0.1506
Cuba,5,3,5,268,1.8657
Czech Republic,1,1,0,248,0.0000
Czech Republic,1,2,1,169,0.5917
Czech Republic,1,3,0,69,0.0000
Czech Republic,2,1,0,411,0.0000
Czech Republic,2,2,0,543,0.0000
Czech Republic,2,3,0,93,0.0000
Czech Republic,3,1,1,599,0.1669
Czech Republic,3,2,0,401,0.0000
Czech Republic,3,3,0,219,0.0000
Czech Republic,4,1,0,615,0.0000
Czech Republic,4,2,1,423,0.2364
Czech Republic,4,3,0,273,0.0000
Czech Republic,5,1,0,777,0.0000
Czech Republic,5,2,0,664,0.0000
Czech Republic,5,3,0,268,0.0000
Denmark,1,1,3,248,1.2097
Denmark,1,2,0,169,0.0000
Denmark,1,3,0,69,0.0000
Denmark,2,1,2,411,0.4866
Denmark,2,2,5,543,0.9208
Denmark,2,3,1,93,1.0753
Denmark,3,1,3,599,0.5008
Denmark,3,2,0,401,0.0000
Denmark,3,3,3,219,1.3699
Denmark,4,1,1,615,0.1626
Denmark,4,2,3,423,0.7092
Denmark,4,3,4,273,1.4652
Denmark,5,1,7,777,0.9009
Denmark,5,2,1,664,0.1506
Denmark,5,3,3,268,1.1194
Ecuador,1,1,0,248,0.0000
Ecuador,1,2,0,169,0.0000
Ecuador,1,3,0,69,0.0000
Ecuador,2,1,0,411,0.0000
Ecuador,2,2,0,543,0.0000
Ecuador,2,3,0,93,0.0000
Ecuador,3,1,0,599,0.0000
Ecuador,3,2,0,401,0.0000
Ecuador,3,3,0,219,0.0000
Ecuador,4,1,0,615,0.0000
Ecuador,4,2,0,423,0.0000
Ecuador,4,3,1,273,0.3663
Ecuador,5,1,0,777,0.0000
Ecuador,5,2,0,664,0.0000
Ecuador,5,3,0,268,0.0000
Egypt,1,1,0,248,0.0000
Egypt,1,2,0,169,0.0000
Egypt,1,3,0,69,0.0000
Egypt,2,1,0,411,0.0000
Egypt,2,2,0,543,0.0000
Egypt,2,3,0,93,0.0000
Egypt,3,1,0,599,0.0000
Egypt,3,2,0,401,0.0000
Egypt,3,3,0,219,0.0000
Egypt,4,1,0,615,0.0000
Egypt,4,2,2,423,0.4728
Egypt,4,3,0,273,0.0000
Egypt,5,1,0,777,0.0000
Egypt,5,2,2,664,0.3012
Egypt,5,3,2,268,0.7463
El Salvador,1,1,0,248,0.0000
El Salvador,1,2,0,169,0.0000
El Salvador,1,3,0,69,0.0000
El Salvador,2,1,0,411,0.0000
El Salvador,2,2,0,543,0.0000
El Salvador,2,3,0,93,0.0000
El Salvador,3,1,0,599,0.0000
El Salvador,3,2,0,401,0.0000
El Salvador,3,3,0,219,0.0000
El Salvador,4,1,0,615,0.0000
El Salvador,4,2,0,423,0.0000
El Salvador,4,3,0,273,0.0000
El Salvador,5,1,0,777,0.0000
El Salvador,5,2,0,664,0.0000
El Salvador,5,3,0,268,0.0000
Ethiopia,1,1,1,248,0.4032
Ethiopia,1,2,1,169,0.5917
Ethiopia,1,3,0,69,0.0000
Ethiopia,2,1,0,411,0.0000
Ethiopia,2,2,0,543,0.0000
Ethiopia,2,3,0,93,0.0000
Ethiopia,3,1,0,599,0.0000
Ethiopia,3,2,0,401,0.0000
Ethiopia,3,3,0,219,0.0000
Ethiopia,4,1,0,615,0.0000
Ethiopia,4,2,0,423,0.0000
Ethiopia,4,3,0,273,0.0000
Ethiopia,5,1,0,777,0.0000
Ethiopia,5,2,1,664,0.1506
Ethiopia,5,3,0,268,0.0000
Fiji,1,1,0,248,0.0000
Fiji,1,2,0,169,0.0000
Fiji,1,3,0,69,0.0000
Fiji,2,1,0,411,0.0000
Fiji,2,2,1,543,0.1842
Fiji,2,3,0,93,0.0000
Fiji,3,1,0,599,0.0000
Fiji,3,2,0,401,0.0000
Fiji,3,3,0,219,0.0000
Fiji,4,1,0,615,0.0000
Fiji,4,2,1,423,0.2364
Fiji,4,3,0,273,0.0000
Fiji,5,1,0,777,0.0000
Fiji,5,2,2,664,0.3012
Fiji,5,3,1,268,0.3731
Finland,1,1,1,248,0.4032
Finland,1,2,1,169,0.5917
Finland,1,3,0,69,0.0000
Finland,2,1,1,411,0.2433
Finland,2,2,8,543,1.4733
Finland,2,3,0,93,0.0000
Finland,3,1,3,599,0.5008
Finland,3,2,3,401,0.7481
Finland,3,3,2,219,0.9132
Finland,4,1,1,615,0.1626
Finland,4,2,3,423,0.7092
Finland,4,3,4,273,1.4652
Finland,5,1,3,777,0.3861
Finland,5,2,6,664,0.9036
Finland,5,3,1,268,0.3731
France,1,1,8,248,3.2258
France,1,2,0,169,0.0000
France,1,3,4,69,5.7971
France,2,1,12,411,2.9197
France,2,2,16,543,2.9466
France,2,3,5,93,5.3763
France,3,1,26,599,4.3406
France,3,2,2,401,0.4988
France,3,3,6,219,2.7397
France,4,1,37,615,6.0163
France,4,2,12,423,2.8369
France,4,3,12,273,4.3956
France,5,1,42,777,5.4054
France,5,2,21,664,3.1627
France,5,3,6,268,2.2388
Germany,1,1,16,248,6.4516
Germany,1,2,3,169,1.7751
Germany,1,3,0,69,0.0000
Germany,2,1,30,411,7.2993
Germany,2,2,22,543,4.0516
Germany,2,3,1,93,1.0753
Germany,3,1,62,599,10.3506
Germany,3,2,11,401,2.7431
Germany,3,3,10,219,4.5662
Germany,4,1,46,615,7.4797
Germany,4,2,13,423,3.0733
Germany,4,3,9,273,3.2967
Germany,5,1,49,777,6.3063
Germany,5,2,38,664,5.7229
Germany,5,3,13,268,4.8507
Ghana,1,1,0,248,0.0000
Ghana,1,2,0,169,0.0000
Ghana,1,3,0,69,0.0000
Ghana,2,1,0,411,0.0000
Ghana,2,2,0,543,0.0000
Ghana,2,3,0,93,0.0000
Ghana,3,1,0,599,0.0000
Ghana,3,2,0,401,0.0000
Ghana,3,3,0,219,0.0000
Ghana,4,1,0,615,0.0000
Ghana,4,2,0,423,0.0000
Ghana,4,3,0,273,0.0000
Ghana,5,1,0,777,0.0000
Ghana,5,2,1,664,0.1506
Ghana,5,3,2,268,0.7463
Greece,1,1,0,248,0.0000
Greece,1,2,0,169,0.0000
Greece,1,3,0,69,0.0000
Greece,2,1,0,411,0.0000
Greece,2,2,0,543,0.0000
Greece,2,3,0,93,0.0000
Greece,3,1,1,599,0.1669
Greece,3,2,0,401,0.0000
Greece,3,3,0,219,0.0000
Greece,4,1,0,615,0.0000
Greece,4,2,1,423,0.2364
Greece,4,3,1,273,0.3663
Greece,5,1,0,777,0.0000
Greece,5,2,3,664,0.4518
Greece,5,3,1,268,0.3731
Guatemala,1,1,0,248,0.0000
Guatemala,1,2,0,169,0.0000
Guatemala,1,3,0,69,0.0000
Guatemala,2,1,0,411,0.0000
Guatemala,2,2,0,543,0.0000
Guatemala,2,3,0,93,0.0000
Guatemala,3,1,0,599,0.0000
Guatemala,3,2,0,401,0.0000
Guatemala,3,3,0,219,0.0000
Guatemala,4,1,0,615,0.0000
Guatemala,4,2,0,423,0.0000
Guatemala,4,3,0,273,0.0000
Guatemala,5,1,0,777,0.0000
Guatemala,5,2,1,664,0.1506
Guatemala,5,3,0,268,0.0000
Guinea,1,1,0,248,0.0000
Guinea,1,2,0,169,0.0000
Guinea,1,3,0,69,0.0000
Guinea,2,1,0,411,0.0000
Guinea,2,2,0,543,0.0000
Guinea,2,3,0,93,0.0000
Guinea,3,1,0,599,0.0000
Guinea,3,2,0,401,0.0000
Guinea,3,3,0,219,0.0000
Guinea,4,1,0,615,0.0000
Guinea,4,2,0,423,0.0000
Guinea,4,3,0,273,0.0000
Guinea,5,1,0,777,0.0000
Guinea,5,2,0,664,0.0000
Guinea,5,3,0,268,0.0000
Hong Kong,1,1,0,248,0.0000
Hong Kong,1,2,0,169,0.0000
Hong Kong,1,3,0,69,0.0000
Hong Kong,2,1,0,411,0.0000
Hong Kong,2,2,1,543,0.1842
Hong Kong,2,3,0,93,0.0000
Hong Kong,3,1,0,599,0.0000
Hong Kong,3,2,0,401,0.0000
Hong Kong,3,3,0,219,0.0000
Hong Kong,4,1,0,615,0.0000
Hong Kong,4,2,0,423,0.0000
Hong Kong,4,3,0,273,0.0000
Hong Kong,5,1,0,777,0.0000
Hong Kong,5,2,0,664,0.0000
Hong Kong,5,3,1,268,0.3731
Hungary,1,1,0,248,0.0000
Hungary,1,2,1,169,0.5917
Hungary,1,3,0,69,0.0000
Hungary,2,1,0,411,0.0000
Hungary,2,2,4,543,0.7366
Hungary,2,3,0,93,0.0000
Hungary,3,1,0,599,0.0000
Hungary,3,2,0,401,0.0000
Hungary,3,3,1,219,0.4566
Hungary,4,1,0,615,0.0000
Hungary,4,2,1,423,0.2364
Hungary,4,3,2,273,0.7326
Hungary,5,1,1,777,0.1287
Hungary,5,2,1,664,0.1506
Hungary,5,3,3,268,1.1194
Iceland,1,1,0,248,0.0000
Iceland,1,2,0,169,0.0000
Iceland,1,3,0,69,0.0000
Iceland,2,1,1,411,0.2433
Iceland,2,2,1,543,0.1842
Iceland,2,3,0,93,0.0000
Iceland,3,1,0,599,0.0000
Iceland,3,2,0,401,0.0000
Iceland,3,3,0,219,0.0000
Iceland,4,1,0,615,0.0000
Iceland,4,2,1,423,0.2364
Iceland,4,3,0,273,0.0000
Iceland,5,1,1,777,0.1287
Iceland,5,2,1,664,0.1506
Iceland,5,3,0,268,0.0000
India,1,1,5,248,2.0161
India,1,2,2,169,1.1834
India,1,3,1,69,1.4493
India,2,1,5,411,1.2165
India,2,2,17,543,3.1308
India,2,3,7,93,7.5269
India,3,1,4,599,0.6678
India,3,2,10,401,2.4938
India,3,3,13,219,5.9361
India,4,1,7,615,1.1382
India,4,2,13,423,3.0733
India,4,3,10,273,3.6630
India,5,1,13,777,1.6731
India,5,2,15,664,2.2590
India,5,3,18,268,6.7164
Indonesia,1,1,0,248,0.0000
Indonesia,1,2,1,169,0.5917
Indonesia,1,3,0,69,0.0000
Indonesia,2,1,0,411,0.0000
Indonesia,2,2,1,543,0.1842
Indonesia,2,3,0,93,0.0000
Indonesia,3,1,0,599,0.0000
Indonesia,3,2,2,401,0.4988
Indonesia,3,3,1,219,0.4566
Indonesia,4,1,0,615,0.0000
Indonesia,4,2,1,423,0.2364
Indonesia,4,3,3,273,1.0989
Indonesia,5,1,1,777,0.1287
Indonesia,5,2,0,664,0.0000
Indonesia,5,3,0,268,0.0000
Iran,1,1,0,248,0.0000
Iran,1,2,0,169,0.0000
Iran,1,3,0,69,0.0000
Iran,2,1,0,411,0.0000
Iran,2,2,0,543,0.0000
Iran,2,3,0,93,0.0000
Iran,3,1,0,599,0.0000
Iran,3,2,0,401,0.0000
Iran,3,3,0,219,0.0000
Iran,4,1,2,615,0.3252
Iran,4,2,1,423,0.2364
Iran,4,3,0,273,0.0000
Iran,5,1,1,777,0.1287
Iran,5,2,0,664,0.0000
Iran,5,3,1,268,0.3731
Ireland,1,1,0,248,0.0000
Ireland,1,2,1,169,0.5917
Ireland,1,3,0,69,0.0000
Ireland,2,1,0,411,0.0000
Ireland,2,2,0,543,0.0000
Ireland,2,3,0,93,0.0000
Ireland,3,1,0,599,0.0000
Ireland,3,2,0,401,0.0000
Ireland,3,3,0,219,0.0000
Ireland,4,1,0,615,0.0000
Ireland,4,2,3,423,0.7092
Ireland,4,3,1,273,0.3663
Ireland,5,1,1,777,0.1287
Ireland,5,2,1,664,0.1506
Ireland,5,3,0,268,0.0000
Israel,1,1,0,248,0.0000
Israel,1,2,1,169,0.5917
Israel,1,3,0,69,0.0000
Israel,2,1,1,411,0.2433
Israel,2,2,1,543,0.1842
Israel,2,3,0,93,0.0000
Israel,3,1,0,599,0.0000
Israel,3,2,1,401,0.2494
Israel,3,3,1,219,0.4566
Israel,4,1,0,615,0.0000
Israel,4,2,1,423,0.2364
Israel,4,3,0,273,0.0000
Israel,5,1,0,777,0.0000
Israel,5,2,0,664,0.0000
Israel,5,3,0,268,0.0000
Italy,1,1,0,248,0.0000
Italy,1,2,0,169,0.0000
Italy,1,3,1,69,1.4493
Italy,2,1,3,411,0.7299
Italy,2,2,5,543,0.9208
Italy,2,3,2,93,2.1505
Italy,3,1,5,599,0.8347
Italy,3,2,0,401,0.0000
Italy,3,3,1,219,0.4566
Italy,4,1,5,615,0.8130
Italy,4,2,5,423,1.1820
Italy,4,3,3,273,1.0989
Italy,5,1,6,777,0.7722
Italy,5,2,11,664,1.6566
Italy,5,3,7,268,2.6119
Jamaica,1,1,0,248,0.0000
Jamaica,1,2,0,169,0.0000
Jamaica,1,3,0,69,0.0000
Jamaica,2,1,0,411,0.0000
Jamaica,2,2,1,543,0.1842
Jamaica,2,3,0,93,0.0000
Jamaica,3,1,0,599,0.0000
Jamaica,3,2,0,401,0.0000
Jamaica,3,3,0,219,0.0000
Jamaica,4,1,1,615,0.1626
Jamaica,4,2,0,423,0.0000
Jamaica,4,3,0,273,0.0000
Jamaica,5,1,0,777,0.0000
Jamaica,5,2,1,664,0.1506
Jamaica,5,3,0,268,0.0000
Japan,1,1,5,248,2.0161
Japan,1,2,5,169,2.9586
Japan,1,3,5,69,7.2464
Japan,2,1,12,411,2.9197
Japan,2,2,21,543,3.8674
Japan,2,3,2,93,2.1505
Japan,3,1,16,599,2.6711
Japan,3,2,9,401,2.2444
Japan,3,3,15,219,6.8493
Japan,4,1,27,615,4.3902
Japan,4,2,9,423,2.1277
Japan,4,3,19,273,6.9597
Japan,5,1,27,777,3.4749
Japan,5,2,18,664,2.7108
Japan,5,3,9,268,3.3582
Kazakhstan,1,1,0,248,0.0000
Kazakhstan,1,2,0,169,0.0000
Kazakhstan,1,3,0,69,0.0000
Kazakhstan,2,1,0,411,0.0000
Kazakhstan,2,2,0,543,0.0000
Kazakhstan,2,3,0,93,0.0000
Kazakhstan,3,1,0,599,0.0000
Kazakhstan,3,2,1,401,0.2494
Kazakhstan,3,3,0,219,0.0000
Kazakhstan,4,1,0,615,0.0000
Kazakhstan,4,2,0,423,0.0000
Kazakhstan,4,3,0,273,0.0000
Kazakhstan,5,1,0,777,0.0000
Kazakhstan,5,2,0,664,0.0000
Kazakhstan,5,3,0,268,0.0000
Kenya,1,1,1,248,0.4032
Kenya,1,2,2,169,1.1834
Kenya,1,3,1,69,1.4493
Kenya,2,1,2,411,0.4866
Kenya,2,2,12,543,2.2099
Kenya,2,3,0,93,0.0000
Kenya,3,1,4,599,0.6678
Kenya,3,2,3,401,0.7481
Kenya,3,3,2,219,0.9132
Kenya,4,1,4,615,0.6504
Kenya,4,2,2,423,0.4728
Kenya,4,3,4,273,1.4652
Kenya,5,1,0,777,0.0000
Kenya,5,2,2,664,0.3012
Kenya,5,3,1,268,0.3731
Kiribati,1,1,0,248,0.0000
Kiribati,1,2,0,169,0.0000
Kiribati,1,3,0,69,0.0000
Kiribati,2,1,0,411,0.0000
Kiribati,2,2,0,543,0.0000
Kiribati,2,3,0,93,0.0000
Kiribati,3,1,0,599,0.0000
Kiribati,3,2,0,401,0.0000
Kiribati,3,3,0,219,0.0000
Kiribati,4,1,0,615,0.0000
Kiribati,4,2,0,423,0.0000
Kiribati,4,3,0,273,0.0000
Kiribati,5,1,0,777,0.0000
Kiribati,5,2,0,664,0.0000
Kiribati,5,3,0,268,0.0000
Kuwait,1,1,0,248,0.0000
Kuwait,1,2,0,169,0.0000
Kuwait,1,3,0,69,0.0000
Kuwait,2,1,0,411,0.0000
Kuwait,2,2,0,543,0.0000
Kuwait,2,3,0,93,0.0000
Kuwait,3,1,0,599,0.0000
Kuwait,3,2,0,401,0.0000
Kuwait,3,3,0,219,0.0000
Kuwait,4,1,0,615,0.0000
Kuwait,4,2,0,423,0.0000
Kuwait,4,3,0,273,0.0000
Kuwait,5,1,0,777,0.0000
Kuwait,5,2,0,664,0.0000
Kuwait,5,3,0,268,0.0000
Laos,1,1,0,248,0.0000
Laos,1,2,0,169,0.0000
Laos,1,3,0,69,0.0000
Laos,2,1,0,411,0.0000
Laos,2,2,0,543,0.0000
Laos,2,3,0,93,0.0000
Laos,3,1,0,599,0.0000
Laos,3,2,0,401,0.0000
Laos,3,3,0,219,0.0000
Laos,4,1,0,615,0.0000
Laos,4,2,1,423,0.2364
Laos,4,3,0,273,0.0000
Laos,5,1,0,777,0.0000
Laos,5,2,0,664,0.0000
Laos,5,3,0,268,0.0000
Lithuania,1,1,0,248,0.0000
Lithuania,1,2,0,169,0.0000
Lithuania,1,3,0,69,0.0000
Lithuania,2,1,0,411,0.0000
Lithuania,2,2,0,543,0.0000
Lithuania,2,3,0,93,0.0000
Lithuania,3,1,0,599,0.0000
Lithuania,3,2,0,401,0.0000
Lithuania,3,3,0,219,0.0000
Lithuania,4,1,0,615,0.0000
Lithuania,4,2,0,423,0.0000
Lithuania,4,3,1,273,0.3663
Lithuania,5,1,0,777,0.0000
Lithuania,5,2,0,664,0.0000
Lithuania,5,3,0,268,0.0000
Madagascar,1,1,0,248,0.0000
Madagascar,1,2,0,169,0.0000
Madagascar,1,3,0,69,0.0000
Madagascar,2,1,0,411,0.0000
Madagascar,2,2,0,543,0.0000
Madagascar,2,3,0,93,0.0000
Madagascar,3,1,0,599,0.0000
Madagascar,3,2,0,401,0.0000
Madagascar,3,3,0,219,0.0000
Madagascar,4,1,0,615,0.0000
Madagascar,4,2,0,423,0.0000
Madagascar,4,3,0,273,0.0000
Madagascar,5,1,0,777,0.0000
Madagascar,5,2,1,664,0.1506
Madagascar,5,3,0,268,0.0000
Malawi,1,1,0,248,0.0000
Malawi,1,2,0,169,0.0000
Malawi,1,3,0,69,0.0000
Malawi,2,1,0,411,0.0000
Malawi,2,2,1,543,0.1842
Malawi,2,3,0,93,0.0000
Malawi,3,1,0,599,0.0000
Malawi,3,2,0,401,0.0000
Malawi,3,3,0,219,0.0000
Malawi,4,1,0,615,0.0000
Malawi,4,2,0,423,0.0000
Malawi,4,3,0,273,0.0000
Malawi,5,1,0,777,0.0000
Malawi,5,2,0,664,0.0000
Malawi,5,3,0,268,0.0000
Malaysia,1,1,0,248,0.0000
Malaysia,1,2,0,169,0.0000
Malaysia,1,3,0,69,0.0000
Malaysia,2,1,0,411,0.0000
Malaysia,2,2,1,543,0.1842
Malaysia,2,3,0,93,0.0000
Malaysia,3,1,1,599,0.1669
Malaysia,3,2,1,401,0.2494
Malaysia,3,3,1,219,0.4566
Malaysia,4,1,0,615,0.0000
Malaysia,4,2,2,423,0.4728
Malaysia,4,3,0,273,0.0000
Malaysia,5,1,1,777,0.1287
Malaysia,5,2,2,664,0.3012
Malaysia,5,3,2,268,0.7463
Maldives,1,1,0,248,0.0000
Maldives,1,2,0,169,0.0000
Maldives,1,3,0,69,0.0000
Maldives,2,1,0,411,0.0000
Maldives,2,2,0,543,0.0000
Maldives,2,3,0,93,0.0000
Maldives,3,1,0,599,0.0000
Maldives,3,2,1,401,0.2494
Maldives,3,3,0,219,0.0000
Maldives,4,1,0,615,0.0000
Maldives,4,2,0,423,0.0000
Maldives,4,3,0,273,0.0000
Maldives,5,1,0,777,0.0000
Maldives,5,2,1,664,0.1506
Maldives,5,3,0,268,0.0000
Malta,1,1,0,248,0.0000
Malta,1,2,0,169,0.0000
Malta,1,3,2,69,2.8986
Malta,2,1,0,411,0.0000
Malta,2,2,0,543,0.0000
Malta,2,3,0,93,0.0000
Malta,3,1,0,599,0.0000
Malta,3,2,1,401,0.2494
Malta,3,3,0,219,0.0000
Malta,4,1,0,615,0.0000
Malta,4,2,1,423,0.2364
Malta,4,3,0,273,0.0000
Malta,5,1,0,777,0.0000
Malta,5,2,1,664,0.1506
Malta,5,3,0,268,0.0000
Mauritius,1,1,0,248,0.0000
Mauritius,1,2,0,169,0.0000
Mauritius,1,3,0,69,0.0000
Mauritius,2,1,0,411,0.0000
Mauritius,2,2,0,543,0.0000
Mauritius,2,3,0,93,0.0000
Mauritius,3,1,0,599,0.0000
Mauritius,3,2,1,401,0.2494
Mauritius,3,3,0,219,0.0000
Mauritius,4,1,0,615,0.0000
Mauritius,4,2,1,423,0.2364
Mauritius,4,3,0,273,0.0000
Mauritius,5,1,0,777,0.0000
Mauritius,5,2,0,664,0.0000
Mauritius,5,3,0,268,0.0000
Mexico,1,1,0,248,0.0000
Mexico,1,2,1,169,0.5917
Mexico,1,3,0,69,0.0000
Mexico,2,1,0,411,0.0000
Mexico,2,2,3,543,0.5525
Mexico,2,3,0,93,0.0000
Mexico,3,1,1,599,0.1669
Mexico,3,2,4,401,0.9975
Mexico,3,3,2,219,0.9132
Mexico,4,1,2,615,0.3252
Mexico,4,2,6,423,1.4184
Mexico,4,3,5,273,1.8315
Mexico,5,1,2,777,0.2574
Mexico,5,2,16,664,2.4096
Mexico,5,3,8,268,2.9851
Moldova,1,1,0,248,0.0000
Moldova,1,2,0,169,0.0000
Moldova,1,3,0,69,0.0000
Moldova,2,1,0,411,0.0000
Moldova,2,2,0,543,0.0000
Moldova,2,3,0,93,0.0000
Moldova,3,1,0,599,0.0000
Moldova,3,2,0,401,0.0000
Moldova,3,3,0,219,0.0000
Moldova,4,1,0,615,0.0000
Moldova,4,2,1,423,0.2364
Moldova,4,3,0,273,0.0000
Moldova,5,1,0,777,0.0000
Moldova,5,2,1,664,0.1506
Moldova,5,3,0,268,0.0000
Monaco,1,1,0,248,0.0000
Monaco,1,2,0,169,0.0000
Monaco,1,3,0,69,0.0000
Monaco,2,1,0,411,0.0000
Monaco,2,2,0,543,0.0000
Monaco,2,3,0,93,0.0000
Monaco,3,1,0,599,0.0000
Monaco,3,2,0,401,0.0000
Monaco,3,3,0,219,0.0000
Monaco,4,1,1,615,0.1626
Monaco,4,2,0,423,0.0000
Monaco,4,3,0,273,0.0000
Monaco,5,1,0,777,0.0000
Monaco,5,2,0,664,0.0000
Monaco,5,3,0,268,0.0000
Mongolia,1,1,0,248,0.0000
Mongolia,1,2,0,169,0.0000
Mongolia,1,3,0,69,0.0000
Mongolia,2,1,0,411,0.0000
Mongolia,2,2,0,543,0.0000
Mongolia,2,3,0,93,0.0000
Mongolia,3,1,0,599,0.0000
Mongolia,3,2,0,401,0.0000
Mongolia,3,3,0,219,0.0000
Mongolia,4,1,0,615,0.0000
Mongolia,4,2,1,423,0.2364
Mongolia,4,3,0,273,0.0000
Mongolia,5,1,0,777,0.0000
Mongolia,5,2,0,664,0.0000
Mongolia,5,3,0,268,0.0000
Montenegro,1,1,0,248,0.0000
Montenegro,1,2,0,169,0.0000
Montenegro,1,3,0,69,0.0000
Montenegro,2,1,0,411,0.0000
Montenegro,2,2,0,543,0.0000
Montenegro,2,3,0,93,0.0000
Montenegro,3,1,0,599,0.0000
Montenegro,3,2,0,401,0.0000
Montenegro,3,3,0,219,0.0000
Montenegro,4,1,0,615,0.0000
Montenegro,4,2,0,423,0.0000
Montenegro,4,3,0,273,0.0000
Montenegro,5,1,0,777,0.0000
Montenegro,5,2,0,664,0.0000
Montenegro,5,3,1,268,0.3731
Morocco,1,1,0,248,0.0000
Morocco,1,2,0,169,0.0000
Morocco,1,3,0,69,0.0000
Morocco,2,1,0,411,0.0000
Morocco,2,2,0,543,0.0000
Morocco,2,3,0,93,0.0000
Morocco,3,1,0,599,0.0000
Morocco,3,2,1,401,0.2494
