Country,AR,WG,Total Country Authors,Total Authors,Percentage of Authors in Country
Turkmenistan,2,3,0,93,0.0000
Turkmenistan,3,1,0,599,0.0000
Turkmenistan,3,2,0,401,0.0000
Turkmenistan,3,3,0,219,0.0000
Turkmenistan,4,1,0,615,0.0000
Turkmenistan,4,2,0,423,0.0000
Turkmenistan,4,3,0,273,0.0000
Turkmenistan,5,1,0,777,0.0000
Turkmenistan,5,2,0,664,0.0000
Turkmenistan,5,3,0,268,0.0000
Uganda,1,1,0,248,0.0000
Uganda,1,2,0,169,0.0000
Uganda,1,3,0,69,0.0000
Uganda,2,1,0,411,0.0000
Uganda,2,2,0,543,0.0000
Uganda,2,3,1,93,1.0753
Uganda,3,1,0,599,0.0000
Uganda,3,2,1,401,0.2494
Uganda,3,3,0,219,0.0000
Uganda,4,1,0,615,0.0000
Uganda,4,2,0,423,0.0000
Uganda,4,3,0,273,0.0000
Uganda,5,1,0,777,0.0000
Uganda,5,2,0,664,0.0000
Uganda,5,3,1,268,0.3731
Ukraine,1,1,0,248,0.0000
Ukraine,1,2,0,169,0.0000
Ukraine,1,3,0,69,0.0000
Ukraine,2,1,0,411,0.0000
Ukraine,2,2,0,543,0.0000
Ukraine,2,3,0,93,0.0000
Ukraine,3,1,0,599,0.0000
Ukraine,3,2,0,401,0.0000
Ukraine,3,3,0,219,0.0000
Ukraine,4,1,0,615,0.0000
Ukraine,4,2,1,423,0.2364
Ukraine,4,3,0,273,0.0000
Ukraine,5,1,0,777,0.0000
Ukraine,5,2,1,664,0.1506
Ukraine,5,3,1,268,0.3731
United Kingdom,1,1,44,248,17.7419
United Kingdom,1,2,5,169,2.9586
United Kingdom,1,3,5,69,7.2464
United Kingdom,2,1,44,411,10.7056
United Kingdom,2,2,42,543,7.7348
United Kingdom,2,3,5,93,5.3763
United Kingdom,3,1,59,599,9.8497
United Kingdom,3,2,26,401,6.4838
United Kingdom,3,3,16,219,7.3059
United Kingdom,4,1,80,615,13.0081
United Kingdom,4,2,52,423,12.2931
United Kingdom,4,3,13,273,4.7619
United Kingdom,5,1,113,777,14.5431
United Kingdom,5,2,69,664,10.3916
United Kingdom,5,3,18,268,6.7164
Uruguay,1,1,0,248,0.0000
Uruguay,1,2,0,169,0.0000
Uruguay,1,3,0,69,0.0000
Uruguay,2,1,0,411,0.0000
Uruguay,2,2,0,543,0.0000
Uruguay,2,3,0,93,0.0000
Uruguay,3,1,0,599,0.0000
Uruguay,3,2,0,401,0.0000
Uruguay,3,3,0,219,0.0000
Uruguay,4,1,0,615,0.0000
Uruguay,4,2,1,423,0.2364
Uruguay,4,3,2,273,0.7326
Uruguay,5,1,0,777,0.0000
Uruguay,5,2,0,664,0.0000
Uruguay,5,3,0,268,0.0000
USA,1,1,92,248,37.0968
USA,1,2,23,169,13.6095
USA,1,3,19,69,27.5362
USA,2,1,177,411,43.0657
USA,2,2,167,543,30.7551
USA,2,3,30,93,32.2581
USA,3,1,238,599,39.7329
USA,3,2,50,401,12.4688
USA,3,3,53,219,24.2009
USA,4,1,227,615,36.9106
USA,4,2,77,423,18.2033
USA,4,3,55,273,20.1465
USA,5,1,248,777,31.9176
USA,5,2,133,664,20.0301
USA,5,3,49,268,18.2836
USSR,1,1,8,248,3.2258
USSR,1,2,9,169,5.3254
USSR,1,3,1,69,1.4493
USSR,2,1,0,411,0.0000
USSR,2,2,0,543,0.0000
USSR,2,3,0,93,0.0000
USSR,3,1,0,599,0.0000
USSR,3,2,0,401,0.0000
USSR,3,3,0,219,0.0000
USSR,4,1,0,615,0.0000
USSR,4,2,0,423,0.0000
USSR,4,3,0,273,0.0000
USSR,5,1,0,777,0.0000
USSR,5,2,0,664,0.0000
USSR,5,3,0,268,0.0000
Uzbekistan,1,1,0,248,0.0000
Uzbekistan,1,2,0,169,0.0000
Uzbekistan,1,3,0,69,0.0000
Uzbekistan,2,1,0,411,0.0000
Uzbekistan,2,2,0,543,0.0000
Uzbekistan,2,3,0,93,0.0000
Uzbekistan,3,1,0,599,0.0000
Uzbekistan,3,2,1,401,0.2494
Uzbekistan,3,3,0,219,0.0000
Uzbekistan,4,1,0,615,0.0000
Uzbekistan,4,2,0,423,0.0000
Uzbekistan,4,3,0,273,0.0000
Uzbekistan,5,1,0,777,0.0000
Uzbekistan,5,2,0,664,0.0000
Uzbekistan,5,3,0,268,0.0000
Venezuela,1,1,0,248,0.0000
Venezuela,1,2,0,169,0.0000
Venezuela,1,3,0,69,0.0000
Venezuela,2,1,1,411,0.2433
Venezuela,2,2,5,543,0.9208
Venezuela,2,3,0,93,0.0000
Venezuela,3,1,2,599,0.3339
Venezuela,3,2,2,401,0.4988
Venezuela,3,3,0,219,0.0000
Venezuela,4,1,0,615,0.0000
Venezuela,4,2,2,423,0.4728
Venezuela,4,3,0,273,0.0000
Venezuela,5,1,0,777,0.0000
Venezuela,5,2,2,664,0.3012
Venezuela,5,3,0,268,0.0000
Vietnam,1,1,0,248,0.0000
Vietnam,1,2,1,169,0.5917
Vietnam,1,3,0,69,0.0000
Vietnam,2,1,0,411,0.0000
Vietnam,2,2,1,543,0.1842
Vietnam,2,3,0,93,0.0000
Vietnam,3,1,1,599,0.1669
Vietnam,3,2,0,401,0.0000
Vietnam,3,3,0,219,0.0000
Vietnam,4,1,0,615,0.0000
Vietnam,4,2,2,423,0.4728
Vietnam,4,3,0,273,0.0000
Vietnam,5,1,0,777,0.0000
Vietnam,5,2,2,664,0.3012
Vietnam,5,3,0,268,0.0000
Zambia,1,1,0,248,0.0000
Zambia,1,2,0,169,0.0000
Zambia,1,3,0,69,0.0000
Zambia,2,1,0,411,0.0000
Zambia,2,2,0,543,0.0000
Zambia,2,3,0,93,0.0000
Zambia,3,1,1,599,0.1669
Zambia,3,2,0,401,0.0000
Zambia,3,3,1,219,0.4566
Zambia,4,1,0,615,0.0000
Zambia,4,2,0,423,0.0000
Zambia,4,3,1,273,0.3663
Zambia,5,1,3,777,0.3861
Zambia,5,2,0,664,0.0000
Zambia,5,3,2,268,0.7463
Zimbabwe,1,1,0,248,0.0000
Zimbabwe,1,2,0,169,0.0000
Zimbabwe,1,3,1,69,1.4493
Zimbabwe,2,1,0,411,0.0000
Zimbabwe,2,2,3,543,0.5525
Zimbabwe,2,3,1,93,1.0753
Zimbabwe,3,1,1,599,0.1669
Zimbabwe,3,2,1,401,0.2494
Zimbabwe,3,3,0,219,0.0000
Zimbabwe,4,1,0,615,0.0000
Zimbabwe,4,2,1,423,0.2364
Zimbabwe,4,3,0,273,0.0000
Zimbabwe,5,1,0,777,0.0000
Zimbabwe,5,2,2,664,0.3012
Zimbabwe,5,3,1,268,0.3731
